species,class,order,maximum_lifespan_yr,mass_g,volancy,fossoriality,foraging_environment,daily_activity
Dicrostonyx_groenlandicus,Mammalia,Rodentia,3.3,66,nonvolant,semifossorial,terrestrial,cathemeral
Didelphis_virginiana,Mammalia,Didelphimorphia,6.6,3000,nonvolant,nonfossorial,semiarboreal,nocturnal
Diphylla_ecaudata,Mammalia,Chiroptera,8,28,volant,nonfossorial,terrestrial,nocturnal
Dipodillus_campestris,Mammalia,Rodentia,7.3,28.4,nonvolant,semifossorial,terrestrial,nocturnal
Dipodomys_merriami,Mammalia,Rodentia,9.7,42,nonvolant,semifossorial,terrestrial,nocturnal
Dendrolagus_goodfellowi,Mammalia,Diprotodontia,23.6,7400,nonvolant,nonfossorial,semiarboreal,cathemeral
Dendrolagus_matschiei,Mammalia,Diprotodontia,26.9,7200,nonvolant,nonfossorial,semiarboreal,cathemeral
Desmodus_rotundus,Mammalia,Chiroptera,29.2,33.2,volant,nonfossorial,terrestrial,nocturnal
Diceros_bicornis,Mammalia,Perissodactyla,49,1100000,nonvolant,nonfossorial,terrestrial,crepuscular
Dolichotis_patagonum,Mammalia,Rodentia,14.4,12500,nonvolant,semifossorial,terrestrial,diurnal
Echinops_telfairi,Mammalia,Afrosoricida,19,180,nonvolant,nonfossorial,semiarboreal,nocturnal
Eidolon_helvum,Mammalia,Chiroptera,21.8,306.25,volant,nonfossorial,in_air,nocturnal
Elaphodus_cephalophus,Mammalia,Artiodactyla,22.7,33500,nonvolant,nonfossorial,terrestrial,crepuscular
Elephas_maximus,Mammalia,Proboscidea,65.5,3180000,nonvolant,nonfossorial,terrestrial,cathemeral
Enhydra_lutris,Mammalia,Carnivora,27,25850,nonvolant,nonfossorial,aquatic,diurnal
Eptesicus_fuscus,Mammalia,Chiroptera,19,23,volant,nonfossorial,in_air,nocturnal
Eptesicus_nilssonii,Mammalia,Chiroptera,20,13,volant,nonfossorial,in_air,nocturnal
Eptesicus_serotinus,Mammalia,Chiroptera,21,18.2,volant,nonfossorial,in_air,nocturnal
Equus_asinus,Mammalia,Perissodactyla,47,164998,nonvolant,nonfossorial,terrestrial,diurnal
Equus_burchellii,Mammalia,Perissodactyla,38,280000,nonvolant,nonfossorial,terrestrial,diurnal
Equus_caballus,Mammalia,Perissodactyla,57,3.00E+05,nonvolant,nonfossorial,terrestrial,diurnal
Equus_grevyi,Mammalia,Perissodactyla,31,384000,nonvolant,nonfossorial,terrestrial,diurnal
Equus_hemionus,Mammalia,Perissodactyla,26.2,230000,nonvolant,nonfossorial,terrestrial,diurnal
Equus_kiang,Mammalia,Perissodactyla,30.1,275000,nonvolant,nonfossorial,terrestrial,diurnal
Equus_zebra,Mammalia,Perissodactyla,33.2,296000,nonvolant,nonfossorial,terrestrial,diurnal
Erethizon_dorsatum,Mammalia,Rodentia,23.4,8600,nonvolant,nonfossorial,semiarboreal,nocturnal
Erinaceus_europaeus,Mammalia,Erinaceomorpha,11.7,750,nonvolant,semifossorial,terrestrial,nocturnal
Erythrocebus_patas,Mammalia,Primates,28.3,7750,nonvolant,nonfossorial,terrestrial,diurnal
Eudorcas_thomsonii,Mammalia,Artiodactyla,20,25000,nonvolant,nonfossorial,terrestrial,diurnal
Eulemur_coronatus,Mammalia,Primates,27,2500,nonvolant,nonfossorial,semiarboreal,diurnal
Eulemur_fulvus,Mammalia,Primates,35.5,3150,nonvolant,nonfossorial,semiarboreal,diurnal
Eulemur_macaco,Mammalia,Primates,36.2,2500,nonvolant,nonfossorial,semiarboreal,diurnal
Eulemur_rubriventer,Mammalia,Primates,20,1765.3,nonvolant,nonfossorial,semiarboreal,diurnal
Euphractus_sexcinctus,Mammalia,Cingulata,22.1,4850,nonvolant,semifossorial,terrestrial,cathemeral
Felis_chaus,Mammalia,Carnivora,20,10000,nonvolant,nonfossorial,terrestrial,cathemeral
Felis_manul,Mammalia,Carnivora,15.9,3500,nonvolant,nonfossorial,terrestrial,cathemeral
Felis_margarita,Mammalia,Carnivora,13.9,2750,nonvolant,nonfossorial,terrestrial,nocturnal
Felis_nigripes,Mammalia,Carnivora,15.6,2125,nonvolant,nonfossorial,terrestrial,nocturnal
Felis_silvestris,Mammalia,Carnivora,19,5500,nonvolant,nonfossorial,terrestrial,nocturnal
Galago_moholi,Mammalia,Primates,16.6,175,nonvolant,nonfossorial,arboreal,nocturnal
Galago_senegalensis,Mammalia,Primates,17.1,192.2,nonvolant,nonfossorial,arboreal,nocturnal
Gazella_dorcas,Mammalia,Artiodactyla,23.7,14500,nonvolant,nonfossorial,terrestrial,cathemeral
Gazella_gazella,Mammalia,Artiodactyla,18.3,23250,nonvolant,nonfossorial,terrestrial,diurnal
Gazella_leptoceros,Mammalia,Artiodactyla,14.6,48500,nonvolant,nonfossorial,terrestrial,crepuscular
Gazella_subgutturosa,Mammalia,Artiodactyla,16.3,48500,nonvolant,nonfossorial,terrestrial,cathemeral
