pigID,sex,si.grunt,no.grunt
1,m,7,25
2,m,0,2.6
3,f,4.3,21.2
4,f,10,18.2
5,f,6.7,11.4
6,f,13.7,13
7,m,44,22.6
8,f,27,12.6
9,f,18.7,7.4
10,f,40,23.2
11,m,6.7,3.4
12,f,25.7,16.4
13,m,21.3,22.8
14,m,0.7,1.8
15,f,9.7,6
16,f,10.3,11.8
17,f,16,18.6
18,f,18.7,26.8
19,m,2.7,3.8
20,f,11.7,15
21,f,9.3,NA
22,m,10.3,5.6
23,m,1,0
24,f,41.7,NA
25,m,8.7,14
26,m,15.3,10.8
27,f,31,11.6
28,f,8.7,7.6
29,m,5.3,13.6
30,m,26.3,32.8
31,m,12,3.6
32,f,0,22.6
33,f,12.7,4.8
34,f,17,10.4
35,m,20,31.4
36,f,25,22.4
37,m,14.7,13.2
38,f,18,27
39,f,26.3,21.4
40,f,25.7,18.2
41,m,12.7,18.4
42,f,5.7,10.2
43,m,1,0
44,f,16.7,5.4
45,m,11,11.8
46,f,7.7,6
47,m,9.7,26.6
48,f,0,22.2
49,m,21.7,28.6
50,f,38.7,37.8
51,f,33.7,34
52,m,2.7,21.2
53,f,23,28
54,m,8.7,5.6
55,m,29.7,26
56,f,12,14.8
57,m,33,12
58,f,15,17.8
59,m,46.7,19.2
60,f,34.7,41.8
61,m,9,27.8
62,m,6.7,6.8
63,m,2.7,2.8
64,m,0,6.6
65,m,3.3,3
66,m,24,28.4
67,m,11.3,34.6
68,m,6.7,17.6
69,m,0,0.2
70,m,17.3,8.8
71,m,18.7,42.4
72,m,8.3,27
